Experiment,Topic,ID,Question,Response,CorrectAnswer,label
1,Physics,104,A common application of lasers in medicine is ___________.,eye surgery and tumor removal,Removing skin discoloration or tumors,1
1,Physics,126,A common application of lasers in medicine is ___________.,Lasix eye surgery ,Removing skin discoloration or tumors,1
1,Physics,130,A common application of lasers in medicine is ___________.,eye surgery,Removing skin discoloration or tumors,1
1,Physics,131,A common application of lasers in medicine is ___________.,laskic eye surgury ,Removing skin discoloration or tumors,1
1,Physics,156,A common application of lasers in medicine is ___________.,Lasik or tumor removal,Removing skin discoloration or tumors,1
1,Physics,161,A common application of lasers in medicine is ___________.,"lasik eye surger, tumor removal, and ",Removing skin discoloration or tumors,1
1,Physics,170,A common application of lasers in medicine is ___________.,LASIK or removing tumors,Removing skin discoloration or tumors,1
1,Physics,184,A common application of lasers in medicine is ___________.,Lasik or tumor removal,Removing skin discoloration or tumors,1
1,Physics,185,A common application of lasers in medicine is ___________.,lasik (eye surgery),Removing skin discoloration or tumors,1
1,Physics,192,A common application of lasers in medicine is ___________.,lasic,Removing skin discoloration or tumors,1
1,Physics,201,A common application of lasers in medicine is ___________.,LASIK,Removing skin discoloration or tumors,1
1,Physics,206,A common application of lasers in medicine is ___________.,eye surgery and dealing with tumors,Removing skin discoloration or tumors,1
1,Physics,220,A common application of lasers in medicine is ___________.,lasik eye surgery,Removing skin discoloration or tumors,1
1,Physics,234,A common application of lasers in medicine is ___________.,LASIK eye surgery and removing tumors and skin discolorations,Removing skin discoloration or tumors,1
1,Physics,243,A common application of lasers in medicine is ___________.,lasik eye surgery ,Removing skin discoloration or tumors,1
1,Physics,250,A common application of lasers in medicine is ___________.,lasik surgery ,Removing skin discoloration or tumors,1
1,Physics,261,A common application of lasers in medicine is ___________.,lasic eye surgery,Removing skin discoloration or tumors,1
1,Physics,268,A common application of lasers in medicine is ___________.,LASIK,Removing skin discoloration or tumors,1
1,Physics,279,A common application of lasers in medicine is ___________.,Removing tumors from the body,Removing skin discoloration or tumors,1
1,Physics,288,A common application of lasers in medicine is ___________.,lasik eye surgery,Removing skin discoloration or tumors,1
1,Physics,292,A common application of lasers in medicine is ___________.,"Lasik eye surgery, used in many of the machines as well",Removing skin discoloration or tumors,1
1,Physics,295,A common application of lasers in medicine is ___________.,laser eye surgery ,Removing skin discoloration or tumors,1
1,Physics,305,A common application of lasers in medicine is ___________.,Lasik or skin treatment,Removing skin discoloration or tumors,1
1,Physics,316,A common application of lasers in medicine is ___________.,"lasik eye surgery, remove tumors, treat skin conditions",Removing skin discoloration or tumors,1
1,Physics,317,A common application of lasers in medicine is ___________.,LASIK eye surgery,Removing skin discoloration or tumors,1
1,Physics,329,A common application of lasers in medicine is ___________.,"Lasik, eye surgery ",Removing skin discoloration or tumors,1
1,Physics,336,A common application of lasers in medicine is ___________.,"LASIK, removing tumors, fixing skin discoloration",Removing skin discoloration or tumors,1
1,Physics,353,A common application of lasers in medicine is ___________.,LASIK surgery,Removing skin discoloration or tumors,1
1,Physics,357,A common application of lasers in medicine is ___________.,lasik,Removing skin discoloration or tumors,1
1,Physics,371,A common application of lasers in medicine is ___________.,LASIK,Removing skin discoloration or tumors,1
1,Physics,375,A common application of lasers in medicine is ___________.,LASIK or removal of tumors,Removing skin discoloration or tumors,1
1,Physics,104,What is the Strategic Defense Initiative (SDI) commonly known as?,Sending a reactor to space,"The ""Star Wars program""",-1
1,Physics,126,What is the Strategic Defense Initiative (SDI) commonly known as?,Star Wars Project,"The ""Star Wars program""",1
1,Physics,130,What is the Strategic Defense Initiative (SDI) commonly known as?,Star wars program,"The ""Star Wars program""",1
1,Physics,131,What is the Strategic Defense Initiative (SDI) commonly known as?,To protect people from lasers ,"The ""Star Wars program""",-1
1,Physics,156,What is the Strategic Defense Initiative (SDI) commonly known as?,Star Wars,"The ""Star Wars program""",1
1,Physics,161,What is the Strategic Defense Initiative (SDI) commonly known as?,star wars program,"The ""Star Wars program""",1
1,Physics,170,What is the Strategic Defense Initiative (SDI) commonly known as?,Star Wars or space wars,"The ""Star Wars program""",1
1,Physics,184,What is the Strategic Defense Initiative (SDI) commonly known as?,Star wars initiative,"The ""Star Wars program""",1
1,Physics,185,What is the Strategic Defense Initiative (SDI) commonly known as?,I don't remember,"The ""Star Wars program""",-1
1,Physics,192,What is the Strategic Defense Initiative (SDI) commonly known as?,0,"The ""Star Wars program""",-1
1,Physics,201,What is the Strategic Defense Initiative (SDI) commonly known as?,Star Wars Program,"The ""Star Wars program""",1
1,Physics,206,What is the Strategic Defense Initiative (SDI) commonly known as?,Star Wars program,"The ""Star Wars program""",1
1,Physics,220,What is the Strategic Defense Initiative (SDI) commonly known as?,the star wars initiative,"The ""Star Wars program""",1
1,Physics,234,What is the Strategic Defense Initiative (SDI) commonly known as?,Star Wars,"The ""Star Wars program""",1
1,Physics,243,What is the Strategic Defense Initiative (SDI) commonly known as?,its commonly known as a ,"The ""Star Wars program""",-1
1,Physics,250,What is the Strategic Defense Initiative (SDI) commonly known as?,s,"The ""Star Wars program""",-1
1,Physics,261,What is the Strategic Defense Initiative (SDI) commonly known as?,laser military defense ,"The ""Star Wars program""",-1
1,Physics,268,What is the Strategic Defense Initiative (SDI) commonly known as?,"The ""Star Wars"" Plan","The ""Star Wars program""",1
1,Physics,279,What is the Strategic Defense Initiative (SDI) commonly known as?,The Star Wars program,"The ""Star Wars program""",1
1,Physics,288,What is the Strategic Defense Initiative (SDI) commonly known as?,I don't remember,"The ""Star Wars program""",-1
1,Physics,292,What is the Strategic Defense Initiative (SDI) commonly known as?, do not remember this one,"The ""Star Wars program""",-1
1,Physics,295,What is the Strategic Defense Initiative (SDI) commonly known as?,0,"The ""Star Wars program""",-1
1,Physics,305,What is the Strategic Defense Initiative (SDI) commonly known as?,Ronald Reagans plan to have missiles in orbit,"The ""Star Wars program""",-1
1,Physics,316,What is the Strategic Defense Initiative (SDI) commonly known as?,The Star Wars Initiative,"The ""Star Wars program""",1
1,Physics,317,What is the Strategic Defense Initiative (SDI) commonly known as?,The Star Wars initiative,"The ""Star Wars program""",1
1,Physics,329,What is the Strategic Defense Initiative (SDI) commonly known as?,Military ,"The ""Star Wars program""",-1
1,Physics,336,What is the Strategic Defense Initiative (SDI) commonly known as?,star wars,"The ""Star Wars program""",1
1,Physics,353,What is the Strategic Defense Initiative (SDI) commonly known as?,Star Wars Defense,"The ""Star Wars program""",1
1,Physics,357,What is the Strategic Defense Initiative (SDI) commonly known as?,NASA,"The ""Star Wars program""",-1
1,Physics,371,What is the Strategic Defense Initiative (SDI) commonly known as?,Laser,"The ""Star Wars program""",-1
1,Physics,375,What is the Strategic Defense Initiative (SDI) commonly known as?,Star Wars,"The ""Star Wars program""",1
1,Physics,104,"In 2014, where did the US Navy test a Laser Weapon System?",In space,The Persian Gulf,-1
1,Physics,126,"In 2014, where did the US Navy test a Laser Weapon System?",Persian Gulf,The Persian Gulf,1
1,Physics,130,"In 2014, where did the US Navy test a Laser Weapon System?",Cuba,The Persian Gulf,-1
1,Physics,131,"In 2014, where did the US Navy test a Laser Weapon System?",Pacific islands,The Persian Gulf,-1
1,Physics,156,"In 2014, where did the US Navy test a Laser Weapon System?",Persian Gulf,The Persian Gulf,1
1,Physics,161,"In 2014, where did the US Navy test a Laser Weapon System?",puerto rico,The Persian Gulf,-1
1,Physics,170,"In 2014, where did the US Navy test a Laser Weapon System?",0,The Persian Gulf,-1
1,Physics,184,"In 2014, where did the US Navy test a Laser Weapon System?",they tested a laser defense system that would either cripple or dest,The Persian Gulf,-1
1,Physics,185,"In 2014, where did the US Navy test a Laser Weapon System?",I dont remember.,The Persian Gulf,-1
1,Physics,192,"In 2014, where did the US Navy test a Laser Weapon System?",in space,The Persian Gulf,-1
1,Physics,201,"In 2014, where did the US Navy test a Laser Weapon System?",Persian Gulf,The Persian Gulf,1
1,Physics,206,"In 2014, where did the US Navy test a Laser Weapon System?",Persian Gulf,The Persian Gulf,1
1,Physics,220,"In 2014, where did the US Navy test a Laser Weapon System?",I do not remember.,The Persian Gulf,-1
1,Physics,234,"In 2014, where did the US Navy test a Laser Weapon System?",in the Persian Gulf,The Persian Gulf,1
1,Physics,243,"In 2014, where did the US Navy test a Laser Weapon System?",0,The Persian Gulf,-1
1,Physics,250,"In 2014, where did the US Navy test a Laser Weapon System?",I don't know ,The Persian Gulf,-1
1,Physics,261,"In 2014, where did the US Navy test a Laser Weapon System?",I dont know ,The Persian Gulf,-1
1,Physics,268,"In 2014, where did the US Navy test a Laser Weapon System?",The Persian Gulf,The Persian Gulf,1
1,Physics,279,"In 2014, where did the US Navy test a Laser Weapon System?",California,The Persian Gulf,-1
1,Physics,288,"In 2014, where did the US Navy test a Laser Weapon System?",Middle East,The Persian Gulf,-1
1,Physics,292,"In 2014, where did the US Navy test a Laser Weapon System?",atalti,The Persian Gulf,-1
1,Physics,295,"In 2014, where did the US Navy test a Laser Weapon System?",i,The Persian Gulf,-1
1,Physics,305,"In 2014, where did the US Navy test a Laser Weapon System?",In space,The Persian Gulf,-1
1,Physics,316,"In 2014, where did the US Navy test a Laser Weapon System?",Persian gulf,The Persian Gulf,1
1,Physics,317,"In 2014, where did the US Navy test a Laser Weapon System?",off the coast of the Virgin Islands or Puerto Rico,The Persian Gulf,-1
1,Physics,329,"In 2014, where did the US Navy test a Laser Weapon System?",n/a,The Persian Gulf,-1
1,Physics,336,"In 2014, where did the US Navy test a Laser Weapon System?",the ocean,The Persian Gulf,1
1,Physics,353,"In 2014, where did the US Navy test a Laser Weapon System?",Outer Space,The Persian Gulf,-1
1,Physics,357,"In 2014, where did the US Navy test a Laser Weapon System?",space'',The Persian Gulf,-1
1,Physics,371,"In 2014, where did the US Navy test a Laser Weapon System?",Space,The Persian Gulf,-1
1,Physics,375,"In 2014, where did the US Navy test a Laser Weapon System?",gulf coast ,The Persian Gulf,-1
1,Physics,104,Why are lasers cheaper than conventional missiles?,"It's just electrons using a conductor, they can ",Because the only cost is the energy it takes to make the laser,-1
1,Physics,126,Why are lasers cheaper than conventional missiles?,Cost less to produce,Because the only cost is the energy it takes to make the laser,-1
1,Physics,130,Why are lasers cheaper than conventional missiles?,they dont have to be remanufactured and stored,Because the only cost is the energy it takes to make the laser,0
1,Physics,131,Why are lasers cheaper than conventional missiles?,"The lazer can have two differnt modes, completly destroying the target, or just destroyi",Because the only cost is the energy it takes to make the laser,-1
1,Physics,156,Why are lasers cheaper than conventional missiles?,The only cost is the energy needed to run the laser,Because the only cost is the energy it takes to make the laser,1
1,Physics,161,Why are lasers cheaper than conventional missiles?,"you only have to pay for the energy to create the laser, vs storage and materials for all of the parts of a missle ",Because the only cost is the energy it takes to make the laser,1
1,Physics,170,Why are lasers cheaper than conventional missiles?,"Because you don't have to buy the materials, you just need to factir in the cost of ma",Because the only cost is the energy it takes to make the laser,-1
1,Physics,184,Why are lasers cheaper than conventional missiles?,you only pay for the laser and the energy rather than the missle the fuel the launch and its reusable.,Because the only cost is the energy it takes to make the laser,1
1,Physics,185,Why are lasers cheaper than conventional missiles?,less materials/ materials thatand more consistent,Because the only cost is the energy it takes to make the laser,-1
1,Physics,192,Why are lasers cheaper than conventional missiles?,they take up less space and are easier to make,Because the only cost is the energy it takes to make the laser,0
1,Physics,201,Why are lasers cheaper than conventional missiles?,"The only cost associated with lasers is to provide the energy to them, as compared to missiles where you'll need mTER",Because the only cost is the energy it takes to make the laser,1
1,Physics,206,Why are lasers cheaper than conventional missiles?,"missiles have to be stored, source materials, etc. la ",Because the only cost is the energy it takes to make the laser,1
1,Physics,220,Why are lasers cheaper than conventional missiles?,because they only cost as much as the energy needed to power them rather than having to source and store all of the physical material ,Because the only cost is the energy it takes to make the laser,1
1,Physics,234,Why are lasers cheaper than conventional missiles?,the only that it takes is the energy that the laser has - not the materials to make and store ,Because the only cost is the energy it takes to make the laser,1
1,Physics,243,Why are lasers cheaper than conventional missiles?,because of how they are made ,Because the only cost is the energy it takes to make the laser,-1
1,Physics,250,Why are lasers cheaper than conventional missiles?,They don't take a lot of power and are smaller ,Because the only cost is the energy it takes to make the laser,-1
1,Physics,261,Why are lasers cheaper than conventional missiles?,they use less materials to produce and operate,Because the only cost is the energy it takes to make the laser,-1
1,Physics,268,Why are lasers cheaper than conventional missiles?,"Conventional missiles need to be built, stored, and paid for repeatedly",Because the only cost is the energy it takes to make the laser,1
1,Physics,279,Why are lasers cheaper than conventional missiles?,Because they only need the medium and the coil that goes around it. ,Because the only cost is the energy it takes to make the laser,-1
1,Physics,288,Why are lasers cheaper than conventional missiles?,it only costs how much to make them don't have to pay for them to be stored or the material,Because the only cost is the energy it takes to make the laser,1
1,Physics,292,Why are lasers cheaper than conventional missiles?,they have more uniform wavelengths ,Because the only cost is the energy it takes to make the laser,-1
1,Physics,295,Why are lasers cheaper than conventional missiles?,because of the materials ne,Because the only cost is the energy it takes to make the laser,-1
1,Physics,305,Why are lasers cheaper than conventional missiles?,0,Because the only cost is the energy it takes to make the laser,-1
1,Physics,316,Why are lasers cheaper than conventional missiles?,the only thing that needs to be payed for is the energy it takes to produce the laser,Because the only cost is the energy it takes to make the laser,1
1,Physics,317,Why are lasers cheaper than conventional missiles?,Lasers only cost outside of production is the energy required to create the laser whereas you need to store and house missiles as well as source the material.,Because the only cost is the energy it takes to make the laser,1
1,Physics,329,Why are lasers cheaper than conventional missiles?,ecause you only have to pay for the materials to make the laser and nothing beyond. ,Because the only cost is the energy it takes to make the laser,1
1,Physics,336,Why are lasers cheaper than conventional missiles?,"the only cost is the energy used to produce a laser, vs materials, time, workers, and ",Because the only cost is the energy it takes to make the laser,1
1,Physics,353,Why are lasers cheaper than conventional missiles?,Require less materials,Because the only cost is the energy it takes to make the laser,-1
1,Physics,357,Why are lasers cheaper than conventional missiles?,"they use less material, don't need to be stored, only loss is energy",Because the only cost is the energy it takes to make the laser,1
1,Physics,371,Why are lasers cheaper than conventional missiles?,Less resources to manufacture,Because the only cost is the energy it takes to make the laser,-1
1,Physics,375,Why are lasers cheaper than conventional missiles?,Its only cost is producing the energy unlike getting material and manu,Because the only cost is the energy it takes to make the laser,1
1,Physics,104,What industry is one of the biggest user of lasers?,Manufacturing,The military,-1
1,Physics,126,What industry is one of the biggest user of lasers?,The military,The military,1
1,Physics,130,What industry is one of the biggest user of lasers?,defense,The military,0
1,Physics,131,What industry is one of the biggest user of lasers?,Military ,The military,1
1,Physics,156,What industry is one of the biggest user of lasers?,Military,The military,1
1,Physics,161,What industry is one of the biggest user of lasers?,The military for weapons,The military,1
1,Physics,170,What industry is one of the biggest user of lasers?,Clothing companies because they can cut cloth fast and accurately,The military,-1
1,Physics,184,What industry is one of the biggest user of lasers?,military/defense ,The military,1
1,Physics,185,What industry is one of the biggest user of lasers?,industrial or textile?,The military,-1
1,Physics,192,What industry is one of the biggest user of lasers?,movie industry,The military,-1
1,Physics,201,What industry is one of the biggest user of lasers?,Fabric,The military,-1
1,Physics,206,What industry is one of the biggest user of lasers?,military,The military,1
1,Physics,220,What industry is one of the biggest user of lasers?,the military,The military,1
1,Physics,234,What industry is one of the biggest user of lasers?,"Medicine, CDs, an",The military,-1
1,Physics,243,What industry is one of the biggest user of lasers?,the medicine industry,The military,-1
1,Physics,250,What industry is one of the biggest user of lasers?,0,The military,-1
1,Physics,261,What industry is one of the biggest user of lasers?,clothing ,The military,-1
1,Physics,268,What industry is one of the biggest user of lasers?,The military,The military,1
1,Physics,279,What industry is one of the biggest user of lasers?,The clothing industry ,The military,-1
1,Physics,288,What industry is one of the biggest user of lasers?,technology like interne,The military,-1
1,Physics,292,What industry is one of the biggest user of lasers?,Lasik eye surgery,The military,-1
1,Physics,295,What industry is one of the biggest user of lasers?,0,The military,-1
1,Physics,305,What industry is one of the biggest user of lasers?,medical/movie,The military,-1
1,Physics,316,What industry is one of the biggest user of lasers?,clothing companies,The military,-1
1,Physics,317,What industry is one of the biggest user of lasers?,"The US military, the DVD movie player industry, and the clothing industry.",The military,1
1,Physics,329,What industry is one of the biggest user of lasers?,Military ,The military,1
1,Physics,336,What industry is one of the biggest user of lasers?,us military,The military,1
1,Physics,353,What industry is one of the biggest user of lasers?,Clothing,The military,-1
1,Physics,357,What industry is one of the biggest user of lasers?,manufacturing clothing,The military,-1
1,Physics,371,What industry is one of the biggest user of lasers?,Clothing,The military,-1
1,Physics,375,What industry is one of the biggest user of lasers?,fabric cutting,The military,-1
1,Statistics,103,Name one potential disadvantage of experiments.,Different types of biases can easily come into play,"Unethical, not interested in causality, expensive, or difficult to run",-1
1,Statistics,112,Name one potential disadvantage of experiments.,Could be considered unethical,"Unethical, not interested in causality, expensive, or difficult to run",1
1,Statistics,133,Name one potential disadvantage of experiments.,"there might be a cofunding variable that is not included, bias wo","Unethical, not interested in causality, expensive, or difficult to run",-1
1,Statistics,137,Name one potential disadvantage of experiments.,Hard to Run ,"Unethical, not interested in causality, expensive, or difficult to run",1
1,Statistics,140,Name one potential disadvantage of experiments.,Skewed Results,"Unethical, not interested in causality, expensive, or difficult to run",-1
1,Statistics,167,Name one potential disadvantage of experiments.,"there may be artificial environments which takes away many factors related to the expiriement, also c","Unethical, not interested in causality, expensive, or difficult to run",-1
1,Statistics,177,Name one potential disadvantage of experiments.,they are sometimes unethical to conduct,"Unethical, not interested in causality, expensive, or difficult to run",1
1,Statistics,178,Name one potential disadvantage of experiments.,There may be many outside factors that were not seen causing results,"Unethical, not interested in causality, expensive, or difficult to run",-1
1,Statistics,186,Name one potential disadvantage of experiments.,They can be expensive ,"Unethical, not interested in causality, expensive, or difficult to run",1
1,Statistics,189,Name one potential disadvantage of experiments.,they are unethical,"Unethical, not interested in causality, expensive, or difficult to run",1
1,Statistics,204,Name one potential disadvantage of experiments.,exspensive,"Unethical, not interested in causality, expensive, or difficult to run",1
1,Statistics,216,Name one potential disadvantage of experiments.,you forget ,"Unethical, not interested in causality, expensive, or difficult to run",-1
1,Statistics,222,Name one potential disadvantage of experiments.,some variables ,"Unethical, not interested in causality, expensive, or difficult to run",-1
1,Statistics,225,Name one potential disadvantage of experiments.,"If the sample is not randomized, the experiment cannt","Unethical, not interested in causality, expensive, or difficult to run",-1
1,Statistics,236,Name one potential disadvantage of experiments.,can be unethical,"Unethical, not interested in causality, expensive, or difficult to run",1
1,Statistics,240,Name one potential disadvantage of experiments.,some variables can have affects that you i,"Unethical, not interested in causality, expensive, or difficult to run",-1
1,Statistics,249,Name one potential disadvantage of experiments.,its hard to experiment when it could be un,"Unethical, not interested in causality, expensive, or difficult to run",-1
1,Statistics,263,Name one potential disadvantage of experiments.,"Time, money, and ethics (it could be unethical","Unethical, not interested in causality, expensive, or difficult to run",1
1,Statistics,272,Name one potential disadvantage of experiments.,they take more time than ,"Unethical, not interested in causality, expensive, or difficult to run",-1
1,Statistics,286,Name one potential disadvantage of experiments.,it can be biased,"Unethical, not interested in causality, expensive, or difficult to run",-1
1,Statistics,293,Name one potential disadvantage of experiments.,they're costly ,"Unethical, not interested in causality, expensive, or difficult to run",1
1,Statistics,314,Name one potential disadvantage of experiments.,It's expensive to do. ,"Unethical, not interested in causality, expensive, or difficult to run",1
1,Statistics,319,Name one potential disadvantage of experiments.,A disadvantage could be that someone is harmed while participating ,"Unethical, not interested in causality, expensive, or difficult to run",1
1,Statistics,330,Name one potential disadvantage of experiments.,"It is not always ethical to test things, like the direct effect cigarettes have on someone","Unethical, not interested in causality, expensive, or difficult to run",1
1,Statistics,340,Name one potential disadvantage of experiments.,they could cost too much to do. ,"Unethical, not interested in causality, expensive, or difficult to run",1
1,Statistics,341,Name one potential disadvantage of experiments.,unethical ,"Unethical, not interested in causality, expensive, or difficult to run",1
1,Statistics,355,Name one potential disadvantage of experiments.,they can be biased,"Unethical, not interested in causality, expensive, or difficult to run",-1
1,Statistics,364,Name one potential disadvantage of experiments.,They may be unethical,"Unethical, not interested in causality, expensive, or difficult to run",1
1,Statistics,366,Name one potential disadvantage of experiments.,some questions can not be answered by ,"Unethical, not interested in causality, expensive, or difficult to run",-1
1,Statistics,401,Name one potential disadvantage of experiments.,people not wanting to do them ,"Unethical, not interested in causality, expensive, or difficult to run",-1
1,Statistics,103,What sampling method ensures that every member of the sample has an equal chance of being picked?,Randomization,Simple random sampling,1
1,Statistics,112,What sampling method ensures that every member of the sample has an equal chance of being picked?,Random,Simple random sampling,1
1,Statistics,133,What sampling method ensures that every member of the sample has an equal chance of being picked?,Random sampling,Simple random sampling,1
1,Statistics,137,What sampling method ensures that every member of the sample has an equal chance of being picked?,random sampling,Simple random sampling,1
1,Statistics,140,What sampling method ensures that every member of the sample has an equal chance of being picked?,Simple Random Sample,Simple random sampling,1
1,Statistics,167,What sampling method ensures that every member of the sample has an equal chance of being picked?,"randomized sampling, every person has the same chance of being picked",Simple random sampling,1
1,Statistics,177,What sampling method ensures that every member of the sample has an equal chance of being picked?,randomized sampling,Simple random sampling,1
1,Statistics,178,What sampling method ensures that every member of the sample has an equal chance of being picked?,random sampling,Simple random sampling,1
1,Statistics,186,What sampling method ensures that every member of the sample has an equal chance of being picked?,SSR,Simple random sampling,-1
1,Statistics,189,What sampling method ensures that every member of the sample has an equal chance of being picked?,random,Simple random sampling,1
1,Statistics,204,What sampling method ensures that every member of the sample has an equal chance of being picked?,random sampling,Simple random sampling,1
1,Statistics,216,What sampling method ensures that every member of the sample has an equal chance of being picked?,simple random sample randomization,Simple random sampling,1
1,Statistics,222,What sampling method ensures that every member of the sample has an equal chance of being picked?,simple random sampling ,Simple random sampling,1
1,Statistics,225,What sampling method ensures that every member of the sample has an equal chance of being picked?,randomizing ,Simple random sampling,1
1,Statistics,236,What sampling method ensures that every member of the sample has an equal chance of being picked?,random sampling,Simple random sampling,1
1,Statistics,240,What sampling method ensures that every member of the sample has an equal chance of being picked?,Random Sampling,Simple random sampling,1
1,Statistics,249,What sampling method ensures that every member of the sample has an equal chance of being picked?,simple random sample,Simple random sampling,1
1,Statistics,263,What sampling method ensures that every member of the sample has an equal chance of being picked?,SRS. Simple random sampling.,Simple random sampling,1
1,Statistics,272,What sampling method ensures that every member of the sample has an equal chance of being picked?,random sampling,Simple random sampling,1
1,Statistics,286,What sampling method ensures that every member of the sample has an equal chance of being picked?,random sampl,Simple random sampling,1
1,Statistics,293,What sampling method ensures that every member of the sample has an equal chance of being picked?,random sampling,Simple random sampling,1
1,Statistics,314,What sampling method ensures that every member of the sample has an equal chance of being picked?,randomization,Simple random sampling,1
1,Statistics,319,What sampling method ensures that every member of the sample has an equal chance of being picked?,random sampling ,Simple random sampling,1
1,Statistics,330,What sampling method ensures that every member of the sample has an equal chance of being picked?,random,Simple random sampling,1
1,Statistics,340,What sampling method ensures that every member of the sample has an equal chance of being picked?,simple random sampling (srs),Simple random sampling,1
1,Statistics,341,What sampling method ensures that every member of the sample has an equal chance of being picked?,0,Simple random sampling,-1
1,Statistics,355,What sampling method ensures that every member of the sample has an equal chance of being picked?,random sampling,Simple random sampling,1
1,Statistics,364,What sampling method ensures that every member of the sample has an equal chance of being picked?,random,Simple random sampling,1
1,Statistics,366,What sampling method ensures that every member of the sample has an equal chance of being picked?,simple random sampling,Simple random sampling,1
1,Statistics,401,What sampling method ensures that every member of the sample has an equal chance of being picked?,simple random sample,Simple random sampling,1
1,Statistics,103,Over- or under-representation of some groups in the population produces a ___________ bias.,experimental,Selection bias,-1
1,Statistics,112,Over- or under-representation of some groups in the population produces a ___________ bias.,sample,Selection bias,-1
1,Statistics,133,Over- or under-representation of some groups in the population produces a ___________ bias.,response ,Selection bias,-1
1,Statistics,137,Over- or under-representation of some groups in the population produces a ___________ bias.,selection,Selection bias,1
1,Statistics,140,Over- or under-representation of some groups in the population produces a ___________ bias.,0,Selection bias,-1
1,Statistics,167,Over- or under-representation of some groups in the population produces a ___________ bias.,sampling,Selection bias,-1
1,Statistics,177,Over- or under-representation of some groups in the population produces a ___________ bias.,representation bias,Selection bias,-1
1,Statistics,178,Over- or under-representation of some groups in the population produces a ___________ bias.,PO,Selection bias,-1
1,Statistics,186,Over- or under-representation of some groups in the population produces a ___________ bias.,strong ,Selection bias,-1
1,Statistics,189,Over- or under-representation of some groups in the population produces a ___________ bias.,un,Selection bias,-1
1,Statistics,204,Over- or under-representation of some groups in the population produces a ___________ bias.,representation,Selection bias,-1
1,Statistics,216,Over- or under-representation of some groups in the population produces a ___________ bias.,response,Selection bias,-1
1,Statistics,222,Over- or under-representation of some groups in the population produces a ___________ bias.,population,Selection bias,-1
1,Statistics,225,Over- or under-representation of some groups in the population produces a ___________ bias.,unbiased,Selection bias,-1
1,Statistics,236,Over- or under-representation of some groups in the population produces a ___________ bias.,sample,Selection bias,-1
1,Statistics,240,Over- or under-representation of some groups in the population produces a ___________ bias.,0,Selection bias,-1
1,Statistics,249,Over- or under-representation of some groups in the population produces a ___________ bias.,0,Selection bias,-1
1,Statistics,263,Over- or under-representation of some groups in the population produces a ___________ bias.,Diversity,Selection bias,-1
1,Statistics,272,Over- or under-representation of some groups in the population produces a ___________ bias.,0,Selection bias,-1
1,Statistics,286,Over- or under-representation of some groups in the population produces a ___________ bias.,0,Selection bias,-1
1,Statistics,293,Over- or under-representation of some groups in the population produces a ___________ bias.,population,Selection bias,-1
